src,dst,generated,provisioned,blocked,provision_ratio,total_hops,average_hops,total_distance,average_distance
0,1,999.0,998.0,1.0,0.998998998998999,4990.0,5.0,461076.0,462.0
0,2,928.0,928.0,0.0,1.0,6496.0,7.0,640320.0,690.0
0,3,988.0,988.0,0.0,1.0,12844.0,13.0,1189552.0,1204.0
0,4,1026.0,1026.0,0.0,1.0,16647.0,16.22514619883041,1552662.0,1513.3157894736842
0,5,987.0,987.0,0.0,1.0,12834.0,13.00303951367781,1214309.0,1230.3029381965553
0,6,1016.0,1015.0,1.0,0.9990157480314961,19813.0,19.520197044334974,1859636.0,1832.153694581281
0,7,1009.0,1007.0,2.0,0.998017839444995,29719.0,29.512413108242303,2763828.0,2744.615690168818
0,8,985.0,982.0,3.0,0.9969543147208122,35052.0,35.69450101832994,3242903.0,3302.345213849287
0,9,1000.0,998.0,2.0,0.998,41482.0,41.565130260521045,3823504.0,3831.1663326653306
0,10,1023.0,1022.0,1.0,0.9990224828934506,25675.0,25.122309197651663,2411713.0,2359.797455968689
0,11,1034.0,1033.0,1.0,0.9990328820116054,22128.0,21.42110358180058,2074536.0,2008.2633107454017
0,12,984.0,984.0,0.0,1.0,26751.0,27.1859756097561,2492360.0,2532.8861788617887
0,13,996.0,996.0,0.0,1.0,22086.0,22.174698795180724,2030326.0000000002,2038.479919678715
0,14,996.0,995.0,1.0,0.998995983935743,18905.0,19.0,1789010.0,1798.0
0,15,1016.0,1016.0,0.0,1.0,21359.0,21.02263779527559,1984453.0,1953.2017716535433
0,16,987.0,986.0,1.0,0.9989868287740629,29580.0,30.0,2746009.9999999995,2784.9999999999995
0,17,997.0,997.0,0.0,1.0,26919.0,27.0,2586218.0,2594.0
0,18,975.0,975.0,0.0,1.0,26860.0,27.54871794871795,2442190.0,2504.8102564102564
0,19,999.0,999.0,0.0,1.0,35431.0,35.466466466466464,3216545.0,3219.7647647647645
0,20,1000.0,999.0,1.0,0.999,32200.0,32.232232232232235,2969812.0,2972.7847847847847
0,21,1017.0,1016.0,1.0,0.9990167158308751,30274.0,29.79724409448819,2792570.0,2748.5925196850394
0,22,978.0,977.0,1.0,0.9989775051124744,36192.0,37.04401228249744,3360704.0000000005,3439.819856704197
0,23,1006.0,1005.0,1.0,0.9990059642147118,36356.0,36.17512437810945,3383598.0,3366.7641791044775
0,24,1016.0,1012.0,4.0,0.9960629921259843,41521.0,41.02865612648221,3859856.0000000005,3814.0869565217395
0,25,1003.0,1003.0,0.0,1.0,50391.0,50.240279162512465,4697104.0,4683.054835493519
0,26,1040.0,1040.0,0.0,1.0,35451.0,34.0875,3351281.0,3222.3855769230768
0,27,1023.0,1023.0,0.0,1.0,19446.0,19.008797653958943,1846211.0,1804.702834799609
1,2,1025.0,1025.0,0.0,1.0,12305.0,12.004878048780487,1181255.0,1152.4439024390244
1,3,948.0,948.0,0.0,1.0,17071.0,18.007383966244724,1580099.0,1666.7710970464136
1,4,1020.0,1020.0,0.0,1.0,14288.0,14.007843137254902,1353252.9999999998,1326.7186274509802
1,5,999.0,999.0,0.0,1.0,11003.0,11.014014014014014,1067184.0,1068.2522522522522
1,6,973.0,973.0,0.0,1.0,17481.0,17.966084275436792,1664738.0,1710.9331963001027
1,7,993.0,991.0,2.0,0.9979859013091642,28324.0,28.58123107971746,2657050.0,2681.180625630676
1,8,972.0,969.0,3.0,0.9969135802469136,34468.0,35.57069143446852,3213855.0,3316.671826625387
1,9,981.0,979.0,2.0,0.9979612640163099,39340.0,40.18386108273749,3647162.0,3725.3953013278856
1,10,1024.0,1020.0,4.0,0.99609375,25196.0,24.701960784313727,2386872.0,2340.070588235294
1,11,999.0,998.0,1.0,0.998998998998999,19251.0,19.289579158316634,1823847.0,1827.502004008016
1,12,978.0,975.0,3.0,0.9969325153374233,25208.0,25.854358974358973,2369065.0,2429.8102564102564
1,13,1006.0,1006.0,0.0,1.0,27014.0,26.852882703777336,2483809.0,2468.995029821074
1,14,954.0,954.0,0.0,1.0,22896.0,24.0,2156040.0000000005,2260.0000000000005
1,15,1000.0,999.0,1.0,0.999,25997.0,26.023023023023022,2412824.0000000005,2415.23923923924
1,16,993.0,993.0,0.0,1.0,34755.0,35.0,3224323.9999999995,3247.0533736153066
1,17,1000.0,1000.0,0.0,1.0,32000.0,32.0,3056000.0000000005,3056.0000000000005
1,18,963.0,957.0,6.0,0.9937694704049844,29823.0,31.163009404388713,2747480.0,2870.9299895506792
1,19,1027.0,1025.0,2.0,0.9980525803310614,40228.0,39.246829268292686,3693825.0,3603.731707317073
1,20,1071.0,1069.0,2.0,0.9981325863678805,32630.0,30.523854069223574,3029005.0,2833.4939195509824
